day,count
 09 14,"	258"
 09 14,"	375"
 09 14,"	458"
 09 14,"	537"
 09 14,"	432"
 09 14,"	372"
 09 14,"	405"
 09 14,"	479"
 09 14,"	470"
 09 14,"	528"
 09 14,"	539"
 09 14,"	426"
 09 14,"	368"
 09 14,"	351"
 09 14,"	367"
 09 14,"	318"
 09 14,"	192"
 09 15,"	149"
 09 15,"	89"
 09 15,"	46"
 09 15,"	35"
 09 15,"	33"
 09 15,"	45"
 09 15,"	108"
 09 15,"	208"
 09 15,"	259"
 09 15,"	338"
 09 15,"	374"
 09 15,"	369"
 09 15,"	285"
 09 15,"	404"
 09 15,"	442"
 09 15,"	490"
 09 15,"	543"
 09 15,"	462"
 09 15,"	472"
 09 15,"	535"
 09 15,"	532"
 09 15,"	437"
 09 15,"	255"
 09 15,"	123"
 09 16,"	53"
 09 16,"	34"
 09 16,"	21"
 09 16,"	20"
 09 16,"	18"
 09 16,"	68"
 09 16,"	248"
 09 16,"	667"
 09 16,"	495"
 09 16,"	346"
 09 16,"	315"
 09 16,"	266"
 09 16,"	248"
 09 16,"	279"
 09 16,"	286"
 09 16,"	315"
 09 16,"	361"
 09 16,"	692"
 09 16,"	534"
 09 16,"	298"
 09 16,"	316"
 09 16,"	272"
 09 16,"	155"
 09 16,"	70"
 09 17,"	49"
 09 17,"	26"
 09 17,"	15"
 09 17,"	18"
 09 17,"	18"
 09 17,"	35"
 09 17,"	176"
 09 17,"	619"
 09 17,"	422"
 09 17,"	331"
 09 17,"	87"
 09 17,"	239"
 09 17,"	264"
 09 17,"	261"
 09 17,"	313"
 09 17,"	321"
 09 17,"	377"
 09 17,"	724"
 09 17,"	525"
 09 17,"	322"
 09 17,"	288"
 09 17,"	253"
 09 17,"	139"
 09 17,"	82"
 09 18,"	48"
 09 18,"	30"
 09 18,"	16"
 09 18,"	17"
 09 18,"	11"
 09 18,"	30"
 09 18,"	180"
 09 18,"	614"
 09 18,"	447"
 09 18,"	321"
 09 18,"	298"
 09 18,"	284"
 09 18,"	254"
 09 18,"	283"
 09 18,"	259"
 09 18,"	317"
 09 18,"	388"
 09 18,"	709"
 09 18,"	596"
 09 18,"	294"
 09 18,"	254"
 09 18,"	244"
 09 18,"	138"
 09 18,"	54"
 09 19,"	43"
 09 19,"	32"
 09 19,"	21"
 09 19,"	18"
 09 19,"	20"
 09 19,"	40"
 09 19,"	178"
 09 19,"	597"
 09 19,"	431"
 09 19,"	342"
 09 19,"	315"
 09 19,"	227"
 09 19,"	235"
 09 19,"	265"
 09 19,"	296"
 09 19,"	298"
 09 19,"	382"
 09 19,"	679"
 09 19,"	531"
 09 19,"	308"
 09 19,"	288"
 09 19,"	195"
 09 19,"	147"
 09 19,"	59"
 09 20,"	58"
 09 20,"	33"
 09 20,"	16"
 09 20,"	18"
 09 20,"	20"
 09 20,"	37"
 09 20,"	187"
 09 20,"	591"
 09 20,"	483"
 09 20,"	371"
 09 20,"	282"
 09 20,"	275"
 09 20,"	285"
 09 20,"	299"
 09 20,"	137"
 09 20,"	363"
 09 20,"	467"
 09 20,"	784"
 09 20,"	691"
 09 20,"	470"
 09 20,"	371"
 09 20,"	343"
 09 20,"	205"
 09 20,"	107"
 09 21,"	82"
 09 21,"	36"
