day,count
 09 03,"	69"
 09 03,"	35"
 09 03,"	17"
 09 03,"	8"
 09 03,"	1"
 09 03,"	20"
 09 03,"	6"
 09 04,"	11"
 09 04,"	9"
 09 04,"	10"
 09 04,"	6"
 09 04,"	15"
 09 04,"	23"
 09 04,"	29"
 09 04,"	82"
 09 04,"	59"
 09 04,"	71"
 09 04,"	80"
 09 04,"	90"
 09 04,"	50"
 09 04,"	47"
 09 04,"	71"
 09 04,"	66"
 09 04,"	55"
 09 04,"	34"
 09 04,"	24"
 09 04,"	7"
 09 04,"	2"
 09 04,"	12"
 09 04,"	5"
 09 04,"	1"
 09 05,"	16"
 09 05,"	6"
 09 05,"	6"
 09 05,"	5"
 09 05,"	16"
 09 05,"	20"
 09 05,"	23"
 09 05,"	74"
 09 05,"	56"
 09 05,"	77"
 09 05,"	69"
 09 05,"	65"
 09 05,"	48"
 09 05,"	57"
 09 05,"	74"
 09 05,"	64"
 09 05,"	39"
 09 05,"	30"
 09 05,"	24"
 09 05,"	6"
 09 05,"	25"
 09 05,"	3"
 09 05,"	10"
 09 05,"	9"
 09 06,"	8"
 09 06,"	8"
 09 06,"	9"
 09 06,"	6"
 09 06,"	14"
 09 06,"	20"
 09 06,"	24"
 09 06,"	74"
 09 06,"	50"
 09 06,"	73"
 09 06,"	83"
 09 06,"	59"
 09 06,"	73"
 09 06,"	62"
 09 06,"	55"
 09 06,"	49"
 09 06,"	50"
 09 06,"	34"
 09 06,"	22"
 09 06,"	10"
 09 06,"	15"
 09 06,"	6"
 09 06,"	4"
 09 06,"	11"
 09 07,"	6"
 09 07,"	9"
 09 07,"	5"
 09 07,"	4"
 09 07,"	11"
 09 07,"	12"
 09 07,"	12"
 09 07,"	49"
 09 07,"	27"
 09 07,"	21"
 09 07,"	24"
 09 07,"	23"
 09 07,"	13"
 09 07,"	46"
 09 07,"	14"
 09 07,"	27"
 09 07,"	28"
 09 07,"	18"
 09 07,"	9"
 09 07,"	10"
 09 07,"	16"
 09 07,"	3"
 09 07,"	5"
 09 07,"	4"
 09 08,"	1"
 09 08,"	2"
 09 08,"	2"
 09 08,"	1"
 09 08,"	3"
 09 08,"	6"
 09 08,"	2"
 09 08,"	9"
 09 08,"	4"
 09 08,"	6"
 09 08,"	6"
 09 08,"	8"
 09 08,"	3"
 09 08,"	5"
 09 08,"	5"
 09 08,"	4"
 09 08,"	2"
 09 08,"	5"
 09 08,"	3"
 09 08,"	3"
 09 08,"	3"
 09 08,"	3"
 09 08,"	3"
 09 08,"	2"
 09 09,"	7"
 09 09,"	3"
 09 09,"	1"
 09 09,"	16"
 09 09,"	18"
 09 09,"	17"
 09 09,"	39"
 09 09,"	53"
 09 09,"	68"
 09 09,"	64"
 09 09,"	96"
 09 09,"	60"
 09 09,"	77"
 09 09,"	61"
 09 09,"	67"
 09 09,"	64"
 09 09,"	39"
 09 09,"	8"
 09 09,"	13"
 09 09,"	24"
 09 09,"	5"
 09 09,"	11"
 09 09,"	12"
 09 10,"	16"
 09 10,"	9"
 09 10,"	9"
 09 10,"	4"
 09 10,"	16"
 09 10,"	24"
 09 10,"	21"
 09 10,"	41"
 09 10,"	67"
 09 10,"	52"
 09 10,"	51"
 09 10,"	56"
 09 10,"	56"
 09 10,"	60"
 09 10,"	87"
 09 10,"	68"
 09 10,"	66"
 09 10,"	40"
 09 10,"	15"
 09 10,"	10"
 09 10,"	15"
 09 10,"	11"
 09 10,"	8"
 09 10,"	12"
 09 11,"	21"
 09 11,"	5"
 09 11,"	5"
 09 11,"	2"
 09 11,"	25"
 09 11,"	19"
 09 11,"	25"
 09 11,"	69"
 09 11,"	62"
 09 11,"	70"
 09 11,"	75"
 09 11,"	64"
 09 11,"	71"
 09 11,"	62"
 09 11,"	70"
 09 11,"	53"
 09 11,"	59"
 09 11,"	33"
 09 11,"	22"
 09 11,"	14"
 09 11,"	15"
 09 11,"	13"
 09 11,"	11"
 09 11,"	14"
 09 12,"	18"
 09 12,"	6"
 09 12,"	8"
 09 12,"	5"
 09 12,"	19"
 09 12,"	22"
 09 12,"	23"
 09 12,"	77"
 09 12,"	65"
 09 12,"	58"
 09 12,"	73"
 09 12,"	68"
 09 12,"	49"
 09 12,"	62"
 09 12,"	69"
 09 12,"	67"
 09 12,"	52"
 09 12,"	22"
 09 12,"	21"
 09 12,"	12"
 09 12,"	16"
 09 12,"	6"
 09 12,"	4"
 09 12,"	15"
 09 13,"	16"
 09 13,"	19"
 09 13,"	19"
 09 13,"	9"
 09 13,"	12"
 09 13,"	10"
 09 13,"	15"
 09 13,"	28"
 09 13,"	6"
 09 13,"	21"
 09 13,"	9"
 09 13,"	24"
 09 13,"	18"
 09 13,"	18"
 09 13,"	15"
 09 13,"	9"
 09 13,"	21"
 09 13,"	14"
 09 13,"	7"
 09 13,"	4"
 09 13,"	14"
 09 13,"	2"
 09 13,"	7"
 09 13,"	5"
 09 14,"	3"
 09 14,"	1"
 09 14,"	1"
 09 14,"	5"
 09 14,"	5"
 09 14,"	8"
 09 14,"	31"
 09 14,"	11"
 09 14,"	8"
 09 14,"	22"
 09 14,"	25"
 09 14,"	16"
 09 14,"	12"
 09 14,"	6"
 09 14,"	8"
 09 14,"	5"
 09 14,"	9"
 09 14,"	11"
 09 14,"	3"
 09 14,"	13"
 09 14,"	2"
 09 14,"	7"
 09 14,"	7"
 09 15,"	3"
 09 15,"	2"
 09 15,"	2"
 09 15,"	1"
 09 15,"	3"
 09 15,"	5"
 09 15,"	9"
 09 15,"	5"
 09 15,"	6"
 09 15,"	6"
 09 15,"	2"
 09 15,"	9"
 09 15,"	2"
 09 15,"	5"
 09 15,"	6"
 09 15,"	5"
 09 15,"	4"
 09 15,"	6"
 09 15,"	3"
 09 15,"	1"
 09 15,"	1"
 09 15,"	2"
 09 16,"	4"
 09 16,"	2"
 09 16,"	2"
 09 16,"	1"
 09 16,"	13"
 09 16,"	21"
 09 16,"	23"
 09 16,"	65"
 09 16,"	42"
 09 16,"	63"
 09 16,"	88"
 09 16,"	55"
 09 16,"	69"
 09 16,"	60"
 09 16,"	56"
 09 16,"	52"
 09 16,"	49"
 09 16,"	25"
 09 16,"	31"
 09 16,"	15"
 09 16,"	13"
 09 16,"	15"
 09 16,"	14"
 09 16,"	16"
 09 17,"	11"
 09 17,"	7"
 09 17,"	9"
 09 17,"	7"
 09 17,"	17"
 09 17,"	22"
 09 17,"	25"
 09 17,"	75"
 09 17,"	68"
 09 17,"	78"
 09 17,"	19"
 09 17,"	64"
 09 17,"	55"
 09 17,"	73"
 09 17,"	65"
 09 17,"	64"
 09 17,"	59"
 09 17,"	41"
 09 17,"	16"
 09 17,"	13"
 09 17,"	19"
 09 17,"	8"
 09 17,"	10"
 09 17,"	13"
 09 18,"	14"
 09 18,"	7"
 09 18,"	5"
 09 18,"	4"
 09 18,"	20"
 09 18,"	23"
 09 18,"	26"
 09 18,"	76"
 09 18,"	64"
 09 18,"	64"
 09 18,"	67"
 09 18,"	65"
 09 18,"	61"
 09 18,"	74"
 09 18,"	68"
 09 18,"	66"
 09 18,"	58"
 09 18,"	43"
 09 18,"	19"
 09 18,"	10"
 09 18,"	21"
 09 18,"	7"
 09 18,"	12"
 09 18,"	14"
 09 19,"	11"
 09 19,"	2"
 09 19,"	8"
 09 19,"	3"
 09 19,"	14"
 09 19,"	22"
 09 19,"	22"
 09 19,"	74"
 09 19,"	62"
 09 19,"	55"
 09 19,"	94"
 09 19,"	68"
 09 19,"	57"
 09 19,"	64"
 09 19,"	73"
 09 19,"	59"
 09 19,"	50"
 09 19,"	44"
 09 19,"	19"
 09 19,"	7"
 09 19,"	22"
 09 19,"	10"
 09 19,"	12"
 09 19,"	7"
 09 20,"	10"
 09 20,"	1"
 09 20,"	5"
 09 20,"	4"
 09 20,"	13"
 09 20,"	20"
 09 20,"	24"
 09 20,"	73"
 09 20,"	55"
 09 20,"	55"
 09 20,"	67"
 09 20,"	68"
 09 20,"	39"
 09 20,"	77"
 09 20,"	41"
 09 20,"	54"
 09 20,"	63"
 09 20,"	44"
 09 20,"	17"
 09 20,"	11"
 09 20,"	14"
 09 20,"	8"
 09 20,"	6"
 09 20,"	9"
 09 21,"	11"
 09 21,"	3"
 09 21,"	3"
 09 21,"	4"
 09 21,"	9"
 09 21,"	10"
 09 21,"	11"
 09 21,"	45"
 09 21,"	25"
 09 21,"	28"
 09 21,"	23"
 09 21,"	21"
 09 21,"	48"
 09 21,"	22"
 09 21,"	24"
 09 21,"	19"
 09 21,"	3"
 09 21,"	10"
 09 21,"	14"
 09 21,"	6"
 09 21,"	19"
 09 21,"	3"
 09 21,"	5"
 09 21,"	5"
09 01 ,1
09 01 ,2
09 01 ,2
09 01 ,2
09 01 ,1
09 01 ,6
09 01 ,4
09 01 ,10
09 01 ,20
09 01 ,11
09 01 ,13
09 01 ,6
09 01 ,9
09 01 ,6
09 01 ,10
09 01 ,10
09 01 ,4
09 01 ,2
09 01 ,7
09 01 ,7
09 01 ,7
09 01 ,2
09 01 ,4
09 02 ,2
09 02 ,4
09 02 ,6
09 02 ,11
09 02 ,16
09 02 ,41
09 02 ,56
09 02 ,62
09 02 ,84
09 02 ,64
09 02 ,90
09 02 ,19
09 02 ,51
09 02 ,81
09 02 ,50
09 02 ,49
09 02 ,38
09 02 ,28
09 02 ,21
09 02 ,16
09 02 ,8
09 02 ,14
09 02 ,9
09 03 ,10
09 03 ,7
09 03 ,7
09 03 ,10
09 03 ,14
09 03 ,16
09 03 ,50
09 03 ,59
09 03 ,66
09 03 ,89
09 03 ,99
09 03 ,63
09 03 ,94
09 03 ,39
09 03 ,65
09 03 ,51
09 03 ,58
09 03 ,28
09 03 ,20
09 03 ,21
09 03 ,13
09 03 ,9
09 03 ,8
09 03 ,5
09 04 ,3
09 04 ,5
09 04 ,7
09 04 ,6
09 04 ,18
09 04 ,19
09 04 ,48
09 04 ,61
09 04 ,59
09 04 ,91
09 04 ,70
09 04 ,96
09 04 ,86
09 04 ,50
09 04 ,73
09 04 ,59
09 04 ,46
09 04 ,44
09 04 ,29
09 04 ,24
09 04 ,25
09 04 ,4
09 04 ,7
09 05 ,6
09 05 ,7
09 05 ,8
09 05 ,11
09 05 ,17
09 05 ,24
09 05 ,45
09 05 ,64
09 05 ,57
09 05 ,92
09 05 ,61
09 05 ,93
09 05 ,104
09 05 ,56
09 05 ,92
09 05 ,78
09 05 ,48
09 05 ,38
09 05 ,29
09 05 ,15
09 05 ,17
09 05 ,12
09 05 ,9
09 05 ,7
09 06 ,3
09 06 ,3
09 06 ,2
09 06 ,10
09 06 ,9
09 06 ,24
09 06 ,60
09 06 ,71
09 06 ,64
09 06 ,95
09 06 ,102
09 06 ,83
09 06 ,135
09 06 ,69
09 06 ,81
09 06 ,51
09 06 ,53
09 06 ,46
09 06 ,25
09 06 ,25
09 06 ,19
09 06 ,7
09 06 ,7
09 06 ,12
09 07 ,4
09 07 ,3
09 07 ,11
09 07 ,4
09 07 ,12
09 07 ,17
09 07 ,25
09 07 ,32
09 07 ,39
09 07 ,43
09 07 ,38
09 07 ,19
09 07 ,23
09 07 ,19
09 07 ,13
09 07 ,12
09 07 ,22
09 07 ,13
09 07 ,3
09 07 ,19
09 07 ,5
09 07 ,3
09 07 ,2
09 07 ,2
09 08 ,1
09 08 ,1
09 08 ,2
09 08 ,1
09 08 ,5
09 08 ,5
09 08 ,5
09 08 ,11
09 08 ,12
09 08 ,16
09 08 ,11
09 08 ,8
09 08 ,2
09 08 ,6
09 08 ,8
09 08 ,1
09 08 ,3
09 08 ,9
09 08 ,9
09 08 ,5
09 08 ,4
09 08 ,2
09 08 ,3
09 09 ,2
09 09 ,1
09 09 ,6
09 09 ,4
09 09 ,9
09 09 ,14
09 09 ,45
09 09 ,54
09 09 ,58
09 09 ,113
09 09 ,67
09 09 ,83
09 09 ,100
09 09 ,56
09 09 ,70
09 09 ,60
09 09 ,64
09 09 ,37
09 09 ,7
09 09 ,26
09 09 ,5
09 09 ,8
09 09 ,14
09 09 ,9
09 10 ,10
09 10 ,7
09 10 ,7
09 10 ,13
09 10 ,14
09 10 ,16
09 10 ,58
09 10 ,55
09 10 ,60
09 10 ,51
09 10 ,35
09 10 ,54
09 10 ,71
09 10 ,46
09 10 ,81
09 10 ,55
09 10 ,61
09 10 ,33
09 10 ,21
09 10 ,28
09 10 ,20
09 10 ,12
09 10 ,13
09 10 ,11
09 11 ,14
09 11 ,1
09 11 ,4
09 11 ,12
09 11 ,29
09 11 ,23
09 11 ,43
09 11 ,76
09 11 ,55
09 11 ,104
09 11 ,57
09 11 ,81
09 11 ,103
09 11 ,48
09 11 ,87
09 11 ,63
09 11 ,47
09 11 ,32
09 11 ,30
09 11 ,25
09 11 ,15
09 11 ,7
09 11 ,11
09 11 ,11
09 12 ,14
09 12 ,6
09 12 ,9
09 12 ,11
09 12 ,18
09 12 ,26
09 12 ,45
09 12 ,85
09 12 ,71
09 12 ,84
09 12 ,85
09 12 ,104
09 12 ,102
09 12 ,48
09 12 ,79
09 12 ,67
09 12 ,49
09 12 ,13
09 12 ,10
09 12 ,15
09 12 ,16
09 12 ,7
09 12 ,6
09 12 ,4
09 13 ,23
09 13 ,20
09 13 ,21
09 13 ,37
09 13 ,30
09 13 ,13
09 13 ,15
09 13 ,16
09 13 ,12
09 13 ,18
09 13 ,14
09 13 ,15
09 13 ,17
09 13 ,17
09 13 ,9
09 13 ,10
09 13 ,9
09 13 ,5
09 13 ,4
09 13 ,16
09 13 ,8
09 13 ,6
09 13 ,3
09 13 ,1
09 14 ,7
09 14 ,2
09 14 ,14
09 14 ,8
09 14 ,19
09 14 ,5
09 14 ,8
09 14 ,16
09 14 ,7
09 14 ,14
09 14 ,25
09 14 ,23
09 14 ,15
09 14 ,23
09 14 ,18
09 14 ,18
09 14 ,19
09 14 ,6
09 14 ,7
09 14 ,12
09 14 ,9
09 14 ,8
09 14 ,9
09 14 ,1
09 15 ,2
09 15 ,2
09 15 ,12
09 15 ,5
09 15 ,6
09 15 ,3
09 15 ,1
09 15 ,13
09 15 ,13
09 15 ,12
09 15 ,8
09 15 ,8
09 15 ,5
09 15 ,9
09 15 ,3
09 15 ,8
09 15 ,5
09 15 ,7
09 15 ,2
09 15 ,7
09 16 ,1
09 16 ,1
09 16 ,7
09 16 ,8
09 16 ,13
09 16 ,17
09 16 ,38
09 16 ,69
09 16 ,80
09 16 ,109
09 16 ,68
09 16 ,79
09 16 ,85
09 16 ,60
09 16 ,73
09 16 ,52
09 16 ,52
09 16 ,35
09 16 ,20
09 16 ,19
09 16 ,20
09 16 ,15
09 16 ,14
09 16 ,8
09 17 ,7
09 17 ,7
09 17 ,9
09 17 ,14
09 17 ,17
09 17 ,26
09 17 ,46
09 17 ,68
09 17 ,69
09 17 ,95
09 17 ,13
09 17 ,97
09 17 ,101
09 17 ,56
09 17 ,80
09 17 ,83
09 17 ,51
09 17 ,44
09 17 ,25
09 17 ,18
09 17 ,12
09 17 ,17
09 17 ,8
09 17 ,6
09 18 ,3
09 18 ,8
09 18 ,7
09 18 ,8
09 18 ,14
09 18 ,25
09 18 ,48
09 18 ,65
09 18 ,63
09 18 ,98
09 18 ,62
09 18 ,97
09 18 ,111
09 18 ,61
09 18 ,87
09 18 ,75
09 18 ,52
09 18 ,31
09 18 ,19
09 18 ,27
09 18 ,24
09 18 ,9
09 18 ,14
09 18 ,7
09 19 ,6
09 19 ,5
09 19 ,10
09 19 ,13
09 19 ,18
09 19 ,24
09 19 ,45
09 19 ,77
09 19 ,73
09 19 ,96
09 19 ,89
09 19 ,105
09 19 ,98
09 19 ,58
09 19 ,82
09 19 ,66
09 19 ,54
09 19 ,49
09 19 ,20
09 19 ,21
09 19 ,13
09 19 ,7
09 19 ,7
09 19 ,10
09 20 ,5
09 20 ,6
09 20 ,5
09 20 ,16
09 20 ,24
09 20 ,18
09 20 ,47
09 20 ,72
09 20 ,68
09 20 ,115
09 20 ,78
09 20 ,93
09 20 ,110
09 20 ,58
09 20 ,42
09 20 ,51
09 20 ,47
09 20 ,52
09 20 ,10
09 20 ,30
09 20 ,10
09 20 ,10
09 20 ,6
09 20 ,3
09 21 ,2
09 21 ,6
09 21 ,1
09 21 ,7
09 21 ,8
09 21 ,15
09 21 ,21
09 21 ,25
09 21 ,17
09 21 ,41
09 21 ,35
09 21 ,35
09 21 ,32
09 21 ,7
09 21 ,16
09 21 ,19
09 21 ,6
09 21 ,6
09 21 ,5
09 21 ,10
09 21 ,7
09 21 ,7
